index;cell_id;DL_TRAFFIC_VOLUME;UL_TRAFFIC_VOLUME;Inter_X2_based_HO_prep;PDCP_SDU_Volume_DL;VoLTE_total_traffic;INTRA_FREQ_HO_SR_RATIO;RRC_SR_RATIO;Intra_eNB_HO_SR_total_RATIO;E_UTRAN_RRC_Conn_Stp_Failure_due_RRC_timer_expiry_RATIO;CELL_AVAILABILITY_RATIO;RACH_Stp_Completion_SR_RATIO;Total_E_UTRAN_RRC_Conn_Stp_SR_RATIO;Inter_RAT_HO_SR_UTRAN_SRVCC_RATIO;UL_THROUGHPUT_RATIO;E_RAB_QCI1_DR_RATIO;DCR_LTE_RATIO;CSSR_LTE_RATIO;LTE_INTER_ENODEB_HOSR_RATIO;E_UTRAN_Inter_Freq_HO_SR_RATIO;Inter_RAT_HO_SR_GERAN_SRVCC_RATIO;Inter_RAT_Total_HO_SR_RATIO;E_UTRAN_tot_HO_SR_inter_eNB_X2_RATIO;DL_THROUGHPUT_RATIO;E_RAB_DR_RATIO
30/05/2021 13:00;4.262775046883192e+17;36342255705.0;3071002762.0;204.0;36342255705.0;7776.0;1.0;0.9998791053798106;1.0;8.059641345960104e-05;1.0;0.9727318331661172;0.9998791053798106;0.0;26.662109375;0.0;0.0009518477043673013;0.9991462877285746;0.9950980392156863;1.0;1.0;0.8666666666666667;0.9950980392156863;79.26667397064226;0.0009518477043673013
30/05/2021 14:00;4.262775046883192e+17;33965564807.0;3200314262.0;200.0;33965564807.0;3539.0;1.0;0.9999155690645052;1.0;0.00012664640324214793;1.0;0.9788560483719533;0.9999155690645052;0.0;27.775390625;0.0;0.0010333543831448418;0.9993465352160695;0.99;0.9974554707379135;0.8571428571428571;0.75;0.99;74.132424335418;0.0010333543831448418
30/05/2021 15:00;4.262775046883192e+17;37701744582.0;3053500344.0;263.0;37701744582.0;3210.0;1.0;0.9996814779423475;1.0;0.00023889154323936931;1.0;0.9900426233031269;0.9996814779423475;0.0;26.5009765625;0.0;0.0010781089968195784;0.9992517370390166;1.0;1.0;1.0;0.9090909090909091;1.0;82.31003030248729;0.0010781089968195784
30/05/2021 16:00;4.262775046883192e+17;36011354747.0;3266682123.0;420.0;36011354747.0;7323.0;1.0;0.9995864778248733;1.0;0.0004479823563871946;1.0;0.9729787428710848;0.9995864778248733;;28.359375;0.0;0.001142021835457494;0.9990715369460359;0.9785714285714285;1.0;1.0;1.0;0.9785714285714285;78.64242354199956;0.001142021835457494
30/05/2021 17:00;4.262775046883192e+17;37168157159.0;2909848270.0;652.0;37168157159.0;9979.0;0.9969230769230769;0.9992597292724196;0.9969230769230769;0.0007402707275803723;1.0;0.9320175438596491;0.9992597292724196;0.0;25.25390625;0.0;0.0008267000496020029;0.9992041757367226;0.9616564417177914;0.9934354485776805;1.0;0.8333333333333334;0.9616564417177914;81.24509567216599;0.0008267000496020029
30/05/2021 18:00;4.262775046883192e+17;36464075299.0;3449684272.0;580.0;36464075299.0;8827.0;0.1949685534591195;0.9996450502253931;0.1949685534591195;0.00039044475206758246;1.0;0.9540564373897708;0.9996450502253931;0.0;29.9404296875;0.0;0.0018059669146861228;0.9991153404743688;0.9827586206896551;0.29605866177818513;1.0;0.9473684210526315;0.9827586206896551;79.70342644244032;0.0018059669146861228
30/05/2021 19:00;4.262775046883192e+17;34750302280.0;3238622978.0;507.0;34750302280.0;11977.0;0.3093065693430657;0.9995542755262977;0.3093065693430657;0.00044572447370225607;1.0;0.9667597765363128;0.9995542755262977;0.0;28.1142578125;0.0;0.0015426327599102469;0.9987108062065473;0.9901380670611439;0.4061032863849765;1.0;0.8260869565217391;0.9901380670611439;75.99361582202798;0.0015426327599102469
30/05/2021 20:00;4.262775046883192e+17;33030280654.0;3601197101.0;542.0;33030280654.0;12274.0;0.2571225071225071;0.9996911355914754;0.2571225071225071;0.0003088644085246577;1.0;0.9699011680143755;0.9996911355914754;;31.2548828125;0.0;0.0013483668487736836;0.9987644716972498;0.9870848708487084;0.3456712672521957;0.9523809523809523;0.9523809523809523;0.9870848708487084;72.27611272407987;0.0013483668487736836
30/05/2021 21:00;4.262775046883192e+17;35179537409.0;3641277719.0;451.0;35179537409.0;9731.0;0.22244488977955912;0.9996718514143204;0.22244488977955912;0.0002625188685436766;1.0;0.9565252525252526;0.9996718514143204;0.0;31.6103515625;0.0;0.001116755715161601;0.9995450902237722;0.991130820399113;0.28807339449541286;1.0;0.8333333333333334;0.991130820399113;76.95085496148876;0.001116755715161601
30/05/2021 22:00;4.262775046883192e+17;37797935335.0;3315101640.0;296.0;37797935335.0;6772.0;0.2778776978417266;0.9994852941176471;0.2778776978417266;0.000588235294117647;1.0;0.9935290708904772;0.9994852941176471;0.5;28.771484375;0.0;0.0012040335122660915;0.9992306164995532;0.9966216216216216;0.3277591973244147;0.875;0.8;0.9966216216216216;82.60294789703623;0.0012040335122660915
30/05/2021 23:00;4.262775046883192e+17;37400881564.0;2833126537.0;211.0;37400881564.0;2451.0;0.26952789699570817;0.9997135593827204;0.26952789699570817;0.0002864406172795302;1.0;0.9819617033085628;0.9997135593827204;;24.587890625;0.0;0.0018597367004355699;0.9988867915396157;0.981042654028436;0.308130081300813;1.0;1.0;0.981042654028436;81.68395953372435;0.0018597367004355699
31/05/2021 00:00;4.262775046883192e+17;35755850896.0;2573781232.0;204.0;35755850896.0;3439.0;0.9324324324324325;0.9988007794933293;0.9324324324324325;0.001161744865837206;1.0;0.9953207186283216;0.9988007794933293;;22.34375;0.0;0.0014886584411979917;0.9984221203696747;1.0;0.9486301369863014;1.0;1.0;1.0;78.02983204914264;0.0014886584411979917
31/05/2021 01:00;4.262775046883192e+17;35145485743.0;2491162583.0;217.0;35145485743.0;2565.0;0.9949109414758269;0.9999226485148515;0.9949109414758269;7.735148514851485e-05;1.0;0.9999253229781196;0.9999226485148515;0.0;21.6201171875;0.0;0.000446698373492393;0.9997413882279922;0.9861751152073732;0.9976958525345622;1.0;0.75;0.9861751152073732;76.6647914784013;0.000446698373492393
31/05/2021 02:00;4.262775046883192e+17;37632483994.0;2212355143.0;99.0;37632483994.0;217.0;1.0;0.9997020262216925;1.0;0.0002979737783075089;1.0;0.9999203123754881;0.9997020262216925;0.5;19.205078125;0.0;0.0002639992960018773;0.9996222687122269;0.9797979797979798;1.0;;0.5;0.9797979797979798;82.0003194075316;0.0002639992960018773
31/05/2021 03:00;4.262775046883192e+17;39635859235.0;1951034902.0;105.0;39635859235.0;1108.0;1.0;0.9999068857954281;1.0;9.311420457190745e-05;1.0;0.9914035009576411;0.9999068857954281;1.0;16.931640625;0.0;0.00025974869313938765;0.9996786838892102;1.0;1.0;1.0;1.0;1.0;86.34390605176308;0.00025974869313938765
31/05/2021 04:00;4.262775046883192e+17;39456569849.0;2846639450.0;79.0;39456569849.0;96.0;1.0;0.9998648100581317;1.0;0.000135189941868325;1.0;1.0;0.9998648100581317;;24.705078125;0.0;0.00046996898204718486;0.9993799218701557;1.0;1.0;;;1.0;86.03989735799561;0.00046996898204718486
31/05/2021 05:00;4.262775046883192e+17;39148359767.0;3668306516.0;154.0;39148359767.0;1518.0;0.9969512195121951;0.9999185932920873;0.9969512195121951;0.00012211006186909801;1.0;0.9939687668282176;0.9999185932920873;0.0;31.845703125;0.0;0.0009286357496623142;0.9992508116207441;1.0;1.0;1.0;0.75;1.0;85.42364871582052;0.0009286357496623142
31/05/2021 06:00;4.262775046883192e+17;39013882915.0;3043067265.0;296.0;39013882915.0;3561.0;1.0;0.9996287894411219;1.0;0.0003712105588781192;1.0;0.9774351532740795;0.9996287894411219;0.0;26.41015625;0.0;0.0008997503918267835;0.9994550721312416;0.9966216216216216;1.0;1.0;0.75;0.9966216216216216;85.2016522500573;0.0008997503918267835
31/05/2021 07:00;4.262775046883192e+17;35284951554.0;2644434578.0;253.0;35284951554.0;3227.0;1.0;0.9990225563909775;1.0;0.0009774436090225565;1.0;0.9521914907270744;0.9990225563909775;0.5;22.95703125;0.0;0.0013133560266959715;0.9993354068639179;0.9881422924901185;1.0;1.0;0.8;0.9881422924901185;77.21046784045353;0.0013133208255159475
31/05/2021 08:00;4.262775046883192e+17;36784242466.0;2461363317.0;306.0;36784242466.0;2508.0;1.0;0.9998424762729886;1.0;0.0001575237270113811;1.0;0.9530748247643382;0.9998424762729886;;21.3623046875;0.0;0.0007054176072234763;0.999384770267625;0.9836601307189542;1.0;1.0;1.0;0.9836601307189542;80.38991242714953;0.0007054176072234763
31/05/2021 09:00;4.262775046883192e+17;38778946164.0;2533541714.0;253.0;38778946164.0;3819.0;0.8716981132075472;0.9995625024857814;0.8716981132075472;0.0003977250129260629;1.0;0.9414621254666182;0.9995625024857814;0.0;21.9873046875;0.0;0.0011641113003975014;0.999380019726645;0.9920948616600791;0.9014492753623189;1.0;0.6666666666666666;0.9920948616600791;84.65260996109664;0.0011641113003975014
31/05/2021 10:00;4.262775046883192e+17;36602905192.0;3189355142.0;225.0;36602905192.0;5126.0;0.41357234314980795;0.9998405167258084;0.41357234314980795;0.00019935409273952394;1.0;0.9594481873596407;0.9998405167258084;0.0;27.6884765625;0.013157894736842105;0.0014218279019507479;0.9995227400336889;1.0;0.458628841607565;1.0;0.8181818181818182;1.0;79.88114400482594;0.0014218279019507479
31/05/2021 11:00;4.262775046883192e+17;38552121572.0;2636901375.0;197.0;38552121572.0;4638.0;0.24097560975609755;0.9996665833124948;0.24097560975609755;0.0003334166875052096;1.0;0.9439891659142996;0.9996665833124948;0.0;22.8857421875;0.0;0.0007264142377190593;0.9993409029629408;1.0;0.29208371246587805;1.0;0.8181818181818182;1.0;84.11214986311703;0.0007264142377190593
31/05/2021 12:00;4.262775046883192e+17;35146849461.0;2368801988.0;160.0;35146849461.0;4117.0;0.4159090909090909;0.9998790956353525;0.4159090909090909;0.00012090436464756378;1.0;0.9835207774115728;0.9998790956353525;;20.564453125;0.0;0.0014629109058573806;0.9991810916894925;0.99375;0.45951629863301785;1.0;1.0;0.99375;76.70749618929254;0.0014629109058573806
31/05/2021 13:00;4.262775046883192e+17;36082817990.0;2598298928.0;154.0;36082817990.0;4489.0;0.654911838790932;0.9995763609404787;0.654911838790932;0.00038127515356915906;1.0;0.9797899599408134;0.9995763609404787;;22.5498046875;0.0;0.0007506605813115541;0.9996133484028314;1.0;0.7078891257995735;0.8571428571428571;0.8571428571428571;1.0;78.70294156318009;0.0007506380423359856
31/05/2021 14:00;4.262775046883192e+17;35828749435.0;2648327163.0;200.0;35828749435.0;3578.0;1.0;0.9997967562294215;1.0;0.00020324377057843177;1.0;0.9731037221560345;0.9997967562294215;0.0;22.984375;0.0;0.0011862061174344057;0.9991909836522903;0.98;0.9926108374384236;1.0;0.8333333333333334;0.98;78.15123913103656;0.0011861726163578852
31/05/2021 15:00;4.262775046883192e+17;36241340947.0;2509816964.0;262.0;36241340947.0;2834.0;0.9958847736625515;0.9996261837514537;0.9958847736625515;0.0004153513872736335;1.0;0.980678063496624;0.9996261837514537;0.0;21.787109375;0.0;0.0005226936144263438;0.998592520250474;0.9923664122137404;0.9969040247678018;1.0;0.8888888888888888;0.9923664122137404;79.07016539217155;0.0005226936144263438
31/05/2021 16:00;4.262775046883192e+17;37448573455.0;3606890706.0;382.0;37448573455.0;6251.0;1.0;0.9991916816695448;1.0;0.0007715765881618107;1.0;0.9417098445595855;0.9991916816695448;0.0;31.3046875;0.0;0.0011996528664046148;0.9982588947766843;0.9947643979057592;1.0;1.0;0.75;0.9947643979057592;81.75253517828814;0.0011996528664046148
31/05/2021 17:00;4.262775046883192e+17;34939576175.0;3179762757.0;530.0;34939576175.0;4758.0;0.9971098265895953;0.9996000581733566;0.9971098265895953;0.0004363001745200698;1.0;0.9607160463396599;0.9996000581733566;0.0;27.5966796875;0.0;0.0007776634974788651;0.9988376981477359;0.9773584905660377;0.9877049180327869;0.9333333333333333;0.875;0.9773584905660377;76.29922555346667;0.0007776634974788651
31/05/2021 18:00;4.262775046883192e+17;34782198765.0;3467543016.0;548.0;34782198765.0;8226.0;0.9971014492753624;0.9995835068721366;0.9971014492753624;0.00041649312786339027;1.0;0.9669297930869514;0.9995835068721366;0.0;30.1015625;0.007518796992481203;0.001213739531496541;0.9992818155702384;0.9890510948905109;0.9957894736842106;1.0;0.6842105263157895;0.9890510948905109;75.99019664556505;0.001213739531496541
31/05/2021 19:00;4.262775046883192e+17;34539041496.0;2864299661.0;495.0;34539041496.0;9477.0;0.9942528735632183;0.999689623064455;0.9914040114613181;0.00027589060937338345;1.0;0.9515037593984963;0.999689623064455;0.25;24.8583984375;0.0;0.0010203839491231817;0.99913178149052;0.9878787878787879;0.9860279441117764;1.0;0.8;0.9878787878787879;75.48496677135604;0.0010203839491231817
